,dest,intermediate_location,payload,src,transhipment_path,veh_type,verb
750,RDPF,,,AMCH,"['AMCH', 'KNPH', 'RDPF']",,MAK
752,HYDH,,,AMCH,"['AMCH', 'HYDH']",,MAK
753,SXVF,,,AMCH,"['AMCH', 'BLRH', 'SXVF']",,MAK
755,IXRB,,,AMCH,"['AMCH', 'DELH', 'IXRB']",,MAK
756,MAAH,,,AMCH,"['AMCH', 'MAAH']",,MAK
757,NAGH,,,AMCH,"['AMCH', 'DELH', 'NAGH']",,MAK
758,BGMH,,,AMCH,"['AMCH', 'PNQH', 'BGMH']",,MAK
759,SNRH,,,AMCH,"['AMCH', 'SNRH']",,MAK
760,AGRB,,,AMCH,"['AMCH', 'AGRB']",,MAK
761,PATH,,,AMCH,"['AMCH', 'KNPH', 'PATH']",,MAK
762,BLRH,,,AMCH,"['AMCH', 'BLRH']",,MAK
763,BOMH,,,AMCH,"['AMCH', 'BOMH']",,MAK
764,IXCB,,,AMCH,"['AMCH', 'IXCB']",,MAK
765,KNPH,,,AMCH,"['AMCH', 'KNPH']",,MAK
767,IDRH,,,AMCH,"['AMCH', 'IDRH']",,MAK
768,AMCH,,,AMCH,['AMCH'],,MAK
770,DELH,,,AMCH,"['AMCH', 'DELH']",,MAK
771,NDAH,,,AMCH,"['AMCH', 'NDAH']",,MAK
772,LUHB,,,AMCH,"['AMCH', 'LUHB']",,MAK
773,HDRB,,,AMCH,"['AMCH', 'HDRB']",,MAK
774,PNQH,,,AMCH,"['AMCH', 'PNQH']",,MAK
775,VPIH,,,AMCH,"['AMCH', 'NDAH', 'AMDH', 'VPIH']",,MAK
777,PNPF,,,AMCH,"['AMCH', 'DELH', 'PNPF']",,MAK
778,SILB,,,AMCH,"['AMCH', 'CCUH', 'SILB']",,MAK
781,AMDH,,,IXRB,"['IXRB', 'AMDH']",,MAK
782,IXCB,,,IXRB,"['IXRB', 'NDAH', 'AMCH', 'AMCH', 'IXCB']",,MAK
784,AMCH,,,IXRB,"['IXRB', 'NDAH', 'AMCH', 'AMCH']",,MAK
785,LUHB,,,IXRB,"['IXRB', 'NDAH', 'AMCH', 'AMCH', 'LUHB']",,MAK
786,RDPF,,,IXRB,"['IXRB', 'PATH', 'KNPH', 'RDPF']",,MAK
788,AMCH,,,IXRB,"['IXRB', 'NDAH', 'AMCH']",,MAK
789,PNQH,,,IXRB,"['IXRB', 'BOMH', 'PNQH']",,MAK
790,VPIH,,,IXRB,"['IXRB', 'BOMH', 'VPIH']",,MAK
791,SNRH,,,IXRB,"['IXRB', 'BOMH', 'SNRH']",,MAK
792,UDRF,,,IXRB,"['IXRB', 'AMDH', 'UDRF']",,MAK
793,IDRH,,,IXRB,"['IXRB', 'BBIH', 'NAGH', 'IDRH']",,MAK
794,VZAH,,,IXRB,"['IXRB', 'VZAH']",,MAK
795,BOMH,,,IXRB,"['IXRB', 'BOMH']",,MAK
796,CJBH,,,IXRB,"['IXRB', 'BLRH', 'CJBH']",,MAK
797,COKB,,,IXRB,"['IXRB', 'BLRH', 'COKB']",,MAK
799,HYDH,,,IXRB,"['IXRB', 'VZAH', 'HYDH']",,MAK
800,SXVF,,,IXRB,"['IXRB', 'BLRH', 'SXVF']",,MAK
802,JAIH,,,IXRB,"['IXRB', 'AMDH', 'JAIH']",,MAK
803,NAGH,,,IXRB,"['IXRB', 'BBIH', 'NAGH']",,MAK
804,NDAH,,,IXRB,"['IXRB', 'NDAH']",,MAK
805,BGMH,,,IXRB,"['IXRB', 'BLRH', 'BGMH']",,MAK
806,AGRB,,,IXRB,"['IXRB', 'PATH', 'KNPH', 'AGRB']",,MAK
807,BLRH,,,IXRB,"['IXRB', 'BLRH']",,MAK
808,CCUH,,,IXRB,"['IXRB', 'BBIH', 'CCUH']",,MAK
810,KNPH,,,IXRB,"['IXRB', 'PATH', 'KNPH']",,MAK
811,MAAH,,,IXRB,"['IXRB', 'VZAH', 'MAAH']",,MAK
812,DELH,,,IXRB,"['IXRB', 'NDAH', 'DELH']",,MAK
813,HDRB,,,IXRB,"['IXRB', 'NDAH', 'DELH', 'HDRB']",,MAK
814,BBIH,,,IXRB,"['IXRB', 'BBIH']",,MAK
815,PNPF,,,IXRB,"['IXRB', 'NDAH', 'AMCH', 'AMCH', 'PNPF']",,MAK
816,PATH,,,IXRB,"['IXRB', 'PATH']",,MAK
817,SILB,,,IXRB,"['IXRB', 'CCUH', 'SILB']",,MAK
820,BGMH,,,KNPH,"['KNPH', 'PNQH', 'BGMH']",,MAK
821,UDRF,,,KNPH,"['KNPH', 'DELH', 'JAIH', 'UDRF']",,MAK
822,VZAH,,,KNPH,"['KNPH', 'HYDH', 'VZAH']",,MAK
823,CJBH,,,KNPH,"['KNPH', 'BLRH', 'CJBH']",,MAK
824,COKB,,,KNPH,"['KNPH', 'BLRH', 'COKB']",,MAK
825,SXVF,,,KNPH,"['KNPH', 'BLRH', 'SXVF']",,MAK
827,AMDH,,,KNPH,"['KNPH', 'DELH', 'AMDH']",,MAK
828,RDPF,,,KNPH,"['KNPH', 'RDPF']",,MAK
830,IXCB,,,KNPH,"['KNPH', 'AMCH', 'AMCH', 'IXCB']",,MAK
832,AMCH,,,KNPH,"['KNPH', 'AMCH']",,MAK
833,AMCH,,,KNPH,"['KNPH', 'AMCH', 'AMCH']",,MAK
834,LUHB,,,KNPH,"['KNPH', 'AMCH', 'AMCH', 'LUHB']",,MAK
835,HDRB,,,KNPH,"['KNPH', 'DELH', 'HDRB']",,MAK
838,JAIH,,,KNPH,"['KNPH', 'DELH', 'JAIH']",,MAK
839,MAAH,,,KNPH,"['KNPH', 'HYDH', 'MAAH']",,MAK
840,NAGH,,,KNPH,"['KNPH', 'IDRH', 'NAGH']",,MAK
841,BBIH,,,KNPH,"['KNPH', 'PATH', 'IXRB', 'BBIH']",,MAK
